おさかながすきです,お魚が好きです
うさぎといっしょにあそんだ,うさぎと一緒に遊んだ
おもちをたべたいな,お餅を食べたいな
うみでおよいでいる,海で泳いでいる
おかあさんといっしょにいく,お母さんと一緒に行く
うたがうまくなりました,歌がうまくなりました
おおきなきがある,大きな木がある
うれしいことがあったよ,嬉しいことがあったよ
おにぎりをつくります,お握りを作ります
うわさをきいてしまった,噂を聞いてしまった
おみせでかいものをした,お店で買い物をした
うちでゆっくりすごす,家でゆっくり過ごす
おじいさんがとてもやさしい,お爺さんがとても優しい
うえにひこうきがとんでる,上に飛行機が飛んでる
うちゅうのたんけんをする,宇宙の探検をする
おてらにいきたいな,お寺に行きたいな
おかしをたくさんたべた,お菓子をたくさん食べた
うでをふってあいさつした,腕を振って挨拶した
おきなわがだいすきです,沖縄が大好きです
うたがうまいひとがいる,歌が上手い人がいる
おゆをわかしておちゃをいれる,お湯を沸かしてお茶を入れる
うんてんがとてもじょうず,運転がとても上手
おばあさんといっしょにあそぶ,お婆さんと一緒に遊ぶ
うさぎがいっぱいいたよ,うさぎがいっぱいいたよ
おじさんがすむところ,おじさんが住む所
うまをみるのがたのしい,馬を見るのが楽しい
おそれいりますがよろしいか,恐れ入りますがよろしいか
うんどうをすることがすき,運動をすることが好き
おてんきがよくなってきた,お天気が良くなってきた
うたごえがきれいですね,歌声が綺麗ですね
おすしがうまいみせをしってる,お寿司が美味い店を知ってる
うたをきいてねむくなった,歌を聞いて眠くなった
おまつりがたのしみです,お祭りが楽しみです
うえきばちをかいました,植木鉢を買いました
おなかがすいてしまったよ,お腹が空いてしまったよ
うちでごはんをつくる,家でご飯を作る
おともだちとあそぶのがすき,友達と遊ぶのが好き
うさぎのにわにいくよ,うさぎの庭に行くよ
おかしをくれるひとがいる,お菓子をくれる人がいる
うたをうたうのがすき,歌を歌うのが好き
おおさかへいくつもりです,大阪へ行くつもりです
うしろにいるひとがこわい,後ろにいる人が怖い
おきゃくさんがやってきた,お客さんがやってきた
うなぎをたべたことがあります,うなぎを食べたことがあります
おんせんにいくのがたのしい,温泉に行くのが楽しい
うみでかいものをするつもり,海で買い物をするつもり
おはなしをききたいな,お話を聞きたいな
うえにものをのせてください,上に物を載せてください
おはようございます,おはようございます
おばあちゃんといっしょにいる,お婆ちゃんと一緒にいる
うめのはながさきました,梅の花が咲きました
およぐのがとてもすきです,泳ぐのがとても好きです
うれしいときはうたをうたう,嬉しい時は歌を歌う
おかねをためてつかう,お金を貯めて使う
うしなってしまったものをかえしたい,失ってしまったものを返したい
おやつはとてもおいしい,おやつはとても美味しい
うんどうかいはたのしかった,運動会は楽しかった
おかあさんといっしょにいく,お母さんと一緒に行く
うみでしゃしんをとりました,海で写真を撮りました
おにぎりをきざんでたべる,お握りを刻んで食べる
おんがくがすきです,音楽が好きです
うえにあがるひこうきがみえる,上に上がる飛行機が見える
おげんきですか,お元気ですか
うみのいえでかんかいする,海の家で歓会する
おふろはきもちいいですね,お風呂は気持ちいいですね
うたをかけておどる,歌をかけて踊る
おにぎりをたべるのがすき,お握りを食べるのが好き
うんてんのまえにたつ,運転の前に立つ
おねがいがあります,お願いがあります
うりきれの商品が多い,売り切れの商品が多い
おみやげをかうつもり,お土産を買うつもり
うつくしいはらっぱであそぶ,美しい原っぱで遊ぶ
おうちでまってるよ,お家で待ってるよ
うんどうかいが楽しみです,運動会が楽しみです
おみせであたらしいふくをかった,お店で新しい服を買った
うしろのいすはあいてますか,後ろの椅子は空いてますか
おもいでをはなすのがたのしい,思い出を話すのが楽しい
うちのにわにはかぼちゃがある,家の庭にはかぼちゃがある
おせんべいはたのしいおやつです,お煎餅は楽しいおやつです
うけたまわっております,承っております
おもちをのこさずたべる,お餅を残さず食べる
うしろにまいこさんがいるぞ,後ろに舞子さんがいるぞ
おいしいスイーツをたべたい,美味しいスイーツを食べたい
うつしえをかざっている,写し絵を飾っている
おうちにかえりたいな,お家に帰りたいな
うえきばちにおはながさいています,植木鉢にお花が咲いています
おかねがほしい,お金が欲しい
うごかないしごとがある,動かない仕事がある
おひさまがかがやいている,お日様が輝いている
うさぎのようにとぶのがすき,うさぎのように飛ぶのが好き
おちついてかんがえよう,落ち着いて考えよう
おしゃべりがたのしいです,お喋りが楽しいです
うみのさちをたべたい,海の幸を食べたい
うなじがすずしくかんじる,うなじが涼しく感じる
おしるこがたべたいな,お汁粉が食べたいな
うえにはながさく,上に花が咲く
おつきさまがとてもきれい,お月様がとても綺麗
うしがめをきった,牛が目を切った
おてつだいするからね,お手伝いするからね
うさぎもちいさい,うさぎも小さい
おんがくをきくのがすき,音楽を聞くのが好き
うまのしっぽをゆらす,馬の尻尾を揺らす
おえかきをするのがたのしい,絵描きをするのが楽しい
おいでよ、みんなであそぼうよ,おいでよ、みんなで遊ぼうよ
うちのねこはかわいい,家の猫は可愛い
おまつりにいくつもり,お祭りに行くつもり
うけつけでまっている,受付で待っている
おつりがどのくらいですか,お釣りがどのくらいですか
うりばにいくよ,売り場に行くよ
おひるごはんをたべます,お昼ご飯を食べます
うりきれていないかな,売り切れていないかな
おさけをのむよりもおちゃがすき,お酒を飲むよりもお茶が好き
うえきばちにかりんをうえた,植木鉢に花梨を植えた
おひさまをみているときがたのしい,お日様を見ている時が楽しい
うえであそぶのがいい,上で遊ぶのが良い
おうちをかざります,お家を飾ります
うつりかわるじかんにいる,移り変わる時間にいる
おたんじょうびをたのしみにしてる,お誕生日を楽しみにしてる
うみのなかでさがしてみよう,海の中で探してみよう
おにぎりがあったんだよ,お握りがあったんだよ
うちでのんびりするのがすき,家でのんびりするのが好き
おこづかいをわすれた,お小遣いを忘れた
うさぎのえがすきです,うさぎの絵が好きです
おてがみきょうしつのなかにある,お手紙教室の中にある
うれしいきもちでいっぱい,嬉しい気持ちでいっぱい
おおきなうみがうつくしい,大きな海が美しい
うわさをきいてしんぱいになった,噂を聞いて心配になった
おとうさんといっしょにでかける,お父さんと一緒に出かける
うみのさちがとてもおいしい,海の幸がとても美味しい
おかしをくれる友達,お菓子をくれる友達
うけたまわりました,承りました
おきなわにはゆうめいなすいかがある,沖縄には有名なスイカがある
いすのうえにすわります,椅子の上に座ります
おばあちゃんがまっている,おばあちゃんが待っている
さかなのえさをさがしています,魚の餌を探しています
おはなをかざっている,お花を飾っている
うすいかおりをかけます,薄い香りをかけます
おむすびをつくるのがたのしい,おむすびを作るのが楽しい
うまいおかしがたくさんある,美味いお菓子がたくさんある
おもいでをえがく,思い出を描く
うけるときのきもちがいい,受ける時の気持ちが良い
おさかながすきなこども,お魚が好きな子供
うつぼのかたちをみる,うつぼの形を見る
おともだちがまっている,お友達が待っている
うちにいるのがすきです,家にいるのが好きです
おちゃをのんで、なにをする,お茶を飲んで、何をする
うすいともりをさがそう,薄い点りを探そう
うえをみるとくもがぱあっと,上を見ると雲がぱあっと
おにくをたべるのがたのしい,お肉を食べるのが楽しい
うまのあしをいっぱいいれている,馬の足をいっぱい入れている
おまじないをとなえて,おまじないを唱えて
ういろうがすきです,ういろうが好きです
おおきなバスをみかけた,大きなバスを見かけた
うちのかんばんはみんなのよ,家の看板はみんなのよ
おにぎりのあさごはんがよい,お握りの朝ごはんが良い
うんどうをすることでつかれはたまって,運動をすることで疲れは溜まって
おかしのあじがいつもおいしい,お菓子の味がいつも美味しい
うえにすわったねこがかわいい,上に座った猫が可愛い
おにぎりのなかにたまごがある,お握りの中に卵がある
うさぎのすみかはたのしい,うさぎの住処は楽しい
おもしろいはなしをきいた,面白い話を聞いた
うたがすきでいろんなじかんにうたう,歌が好きでいろんな時間に歌う
おきなわのうみがあおい,沖縄の海が青い
うつりゆくきせつがすき,移りゆく季節が好き
おてらにいってみたい,お寺に行ってみたい
うんてんがきゅうにあらくなる,運転が急に荒くなる
おにぎりをひとつたべました,お握りを一つ食べました
うごくものにはいつもこうきしん,動くものにはいつも好奇心
おおきなすいかがうれしい,大きなスイカが嬉しい
うえにあるおもちゃをとりたい,上にあるおもちゃを取りたい
おかあさんといっしょにおかえり,お母さんと一緒にお帰り
うちのいぬはいつもかわいい,家の犬はいつも可愛い
おかねがたまったらいいな,お金が貯まったらいいな
うさぎといっしょにおさんぽ,うさぎと一緒にお散歩
おひるねをしてやすむ,お昼寝をして休む
うまのしっぽをさわりたい,馬の尻尾を触りたい
おなかがすいてきたよ,お腹が空いてきたよ
うきわをもってうみへいく,浮き輪を持って海へ行く
おもいでをかきあつめたい,思い出を描き集めたい
うまくれんしゅうしたい,うまく練習したい
おひさまがしかりそう,お日様が叱りそう
うらのおにわにさんぽする,裏の庭に散歩する
おおきなかたつむりがいた,大きなカタツムリがいた
うえにかざるうつわ,上に飾る器
ひつじのむらがみえる,羊の村が見える
うすいふきんがかわいい,薄い布巾が可愛い
おみせでかんしゃくのこえ,お店で癇癪の声
おんがくがきこえるとしあわせ,音楽が聞こえると幸せ
うさぎのぽんぽんみたい,うさぎのぽんぽんみたい
おやつのじかんをたのしむ,おやつの時間を楽しむ
うじゃうじゃうしがそっている,うじゃうじゃ牛が添っている
おかあさんはつねにていねい,お母さんは常に丁寧
うたのしあげはかんたんだね,歌の仕上げは簡単だね
おそとであそぶのがたのしい,外で遊ぶのが楽しい
おつきあいしてくれるともだち,お付き合いしてくれる友達
うだるようなあつさをかんじる,うだるような暑さを感じる
おはようのあいさつがすき,おはようの挨拶が好き
うなぎをたべたらしあわせ,うなぎを食べたら幸せ
おもてなしのこえをかける,おもてなしの声をかける
うめぼしはとてもすきだよ,梅干しはとても好きだよ
おこさまランチがもりつけされる,お子様ランチが盛り付けされる
うちのさかなはおいしい,家の魚は美味しい
おみせでおかいものしたい,お店で買い物したい
うえきばちにかおをうつす,植木鉢に顔を映す
おあついおちゃにしちゃう,お熱いお茶にしちゃう
うすやきのピザがあった,薄焼きのピザがあった
おいしさがやみつきになる,美味しさが病みつきになる
うっとうしいおてんきがつづく,うっとうしいお天気が続く
おいしいとおもっています,美味しいと思っています
うごくようすがたのしい,動く様子が楽しい
おいしそうなおかしがいっぱい,美味しそうなお菓子がいっぱい
うんどうかいにはおもいでがある,運動会には思い出がある
おかねをためるためには,お金を貯めるためには
うたがうまくなったらいい,歌が上手くなったらいい
おみやげにするつもり,お土産にするつもり
うえにあったひまわりがきれい,上にあったひまわりが綺麗
おとこのこがいつもあそぶばしょ,男の子がいつも遊ぶ場所
うえにいくつかおもちゃをのせる,上にいくつかおもちゃを乗せる
おろしやさんがきてた,卸屋さんが来てた
うれしそうなあかちゃんがいる,嬉しそうな赤ちゃんがいる
おいしいりょうり、まっているよ,美味しい料理、待っているよ
うちのいぬはとてもかわいい,家の犬はとても可愛い
おおきなくりがたくさんある,大きな栗がたくさんある
うえにかざるつもりです,上に飾るつもりです
おちついてかんがえることができる,落ち着いて考えることができる
うつろうじかんのなかで,移ろう時間の中で
おにぎりをたべてからあそぶ,お握りを食べてから遊ぶ
うちのねこがかおをみせてきた,家の猫が顔を見せてきた
おんがくをきいてすごすのがすき,音楽を聞いて過ごすのが好き
うねうねとおよぐなまず,うねうねと泳ぐナマズ
おかしやひまわりをかわいがる,お菓子やひまわりを可愛がる
あのひとのすきなおちょこです,あの人の好きなおちょこです
おおきなゆめをもつことはすてきなことだから,お大きな夢を持つことは素敵なことだから
おもいでをかざっていこう,思い出を飾って行こう
うれしいとおもいながらつくる,嬉しいと思いながら作る
おじょうずにあそんでるね,お上手に遊んでるね
うえにそびえてみえるしろ,上にそびえて見える城
うまくおかしをつくるなあ,上手くお菓子を作るなあ
おんせんでしばらくあんせいにする,温泉でしばらく安静にする
おいしいたいやきがたべたかった,美味しいたい焼きが食べたかった
うつしものでふわふわ,映し物でフワフワ
としがあけました,年が明けました
うえにあるととてもきれい,上にあるととても綺麗
おいしいみかんがあった,美味しいみかんがあった
おおきなさんかくのいえがほしい,大きな三角の家が欲しい
うさぎがにんじんをたべている,うさぎが人参を食べている
おいしいそばをたべたいです,美味しいそばを食べたいです
うたおうとしたがわすれてしまった,歌おうとしたが忘れてしまった
おもちゃのくるまがよくうごく,おもちゃの車がよく動く
うえのほうがすきだといった,上の方が好きだと言った
おもてのはながひらいてきた,表の花が開いてきた
うんどうがすんだあとのさっぱりかん,運動が済んだあとのさっぱり感
おふろにはいってさっぱりする,お風呂に入ってさっぱりする
うつくしいばしょでねむりたい,美しい場所で眠りたい
おばあちゃんがつくったおかし,お婆ちゃんが作ったお菓子
うみのさちをたべるのがだいすき,海の幸を食べるのが大好き
おおきなまるいすいかがほしい,大きな丸いスイカが欲しい
うわさをきいてわくわくしている,噂を聞いてワクワクしている
おしゃべりをしていたらじかんがたった,お喋りをしていたら時間が経った
うまいりょうりをはつめいする,うまい料理を発明する
おしらせがくるのをまっている,お知らせが来るのを待っている
うつりかけのゆうひがきれい,移りかけの夕日が綺麗
おおきなかぶをうえた,大きなカブを植えた
うみをみながらすごすひ,海を見ながら過ごす日
おやすみのまえにねる,お休みの前に寝る
うわさがひろがっているようだ,噂が広がっているようだ
おすすめのえいががある,お勧めの映画がある
