うさかながすきです,お魚が好きです
おさぎといっしょにあそんだ,兎と一緒に遊んだ
うもちをたべたいな,お餅を食べたいな
うみでうよいでいる,海で泳いでいる
おみでおよいでいる,海で泳いでいる
うかあさんといっしょにいく,お母さんと一緒に行く
おたがうまくなりました,歌がうまくなりました
うおきなきがある,大きな木がある
おれしいことがあったよ,嬉しいことがあったよ
うにぎりをつくります,お握りを作ります
おわさをきいてしまった,噂を聞いてしまった
うみせでかいものをした,お店で買い物をした
おちでゆっくりすごす,家でゆっくり過ごす
うじいさんがとてもやさしい,お爺さんがとても優しい
おぢいさんがとてもやさしい,お爺さんがとても優しい
おえにひこうきがとんでる,上に飛行機が飛んでる
おちゅうのたんけんをする,宇宙の探検をする
うてらにいきたいな,お寺に行きたいな
うかしをたくさんたべた,お菓子をたくさん食べた
おでをふってあいさつした,腕を振って挨拶した
うきなわがだいすきです,沖縄が大好きです
おたがうまいひとがいる,歌が上手い人がいる
うゆをわかしておちゃをいれる,お湯を沸かしてお茶を入れる
おんてんがとてもじょうず,運転がとても上手
うんてんがとてもぢょうず,運転がとても上手
うんてんがとてもじょうづ,運転がとても上手
うばあさんといっしょにあそぶ,お婆さんと一緒に遊ぶ
おさぎがいっぱいいたよ,兎がいっぱいいたよ
うじさんがすむところ,おじさんが住む所
おぢさんがすむところ,おじさんが住む所
おまをみるのがたのしい,馬を見るのが楽しい
うそれいりますがよろしいか,恐れ入りますがよろしいか
おんどうをすることがすき,運動をすることが好き
うてんきがよくなってきた,お天気が良くなってきた
おたごえがきれいですね,歌声が綺麗ですね
うすしがうまいみせをしってる,お寿司が美味い店を知ってる
おすしがおまいみせをしってる,お寿司が美味い店を知ってる
おたをきいてねむくなった,歌を聞いて眠くなった
うまつりがたのしみです,お祭りが楽しみです
おえきばちをかいました,植木鉢を買いました
うなかがすいてしまったよ,お腹が空いてしまったよ
おちでごはんをつくる,家でご飯を作る
うともだちとあそぶのがすき,友達と遊ぶのが好き
おさぎのにわにいくよ,兎の庭に行くよ
うかしをくれるひとがいる,お菓子をくれる人がいる
おたをうたうのがすき,歌を歌うのが好き
うおさかへいくつもりです,大阪へ行くつもりです
おしろにいるひとがこわい,後ろにいる人が怖い
うきゃくさんがやってきた,お客さんがやってきた
おなぎをたべたことがあります,鰻を食べたことがあります
うんせんにいくのがたのしい,温泉に行くのが楽しい
おみでかいものをするつもり,海で買い物をするつもり
うはなしをききたいな,お話を聞きたいな
おえにものをのせてください,上に物を載せてください
うはようございます,お早うございます
おはよおございます,お早うございます
うばあちゃんといっしょにいる,お婆ちゃんと一緒にいる
おめのはながさきました,梅の花が咲きました
うよぐのがとてもすきです,泳ぐのがとても好きです
おれしいときはうたをうたう,嬉しい時は歌を歌う
うかねをためてつかう,お金を貯めて使う
おかねをためてつかお,お金を貯めて使う
おしなってしまったものをかえしたい,失ってしまったものを返したい
うやつはとてもおいしい,おやつはとても美味しい
おんどうかいはたのしかった,運動会は楽しかった
うかあさんといっしょにいく,お母さんと一緒に行く
おみでしゃしんをとりました,海で写真を撮りました
うにぎりをきざんでたべる,お握りを刻んで食べる
うんがくがすきです,音楽が好きです
おえにあがるひこうきがみえる,上に上がる飛行機が見える
うげんきですか,お元気ですか
おみのいえでかんかいする,海の家で歓会する
うふろはきもちいいですね,お風呂は気持ちいいですね
うたをかけてうどる,歌をかけて踊る
おたをかけておどる,歌をかけて踊る
うにぎりをたべるのがすき,お握りを食べるのが好き
