おさかながすきです, お魚が好きです
うさぎといっしょにあそんだ, 兎と一緒に遊んだ
おもちをたべたいな, お餅を食べたいな
うみでおよいでいる, 海で泳いでいる
おかあさんといっしょにいく, お母さんと一緒に行く
うたがうまくなりました, 歌がうまくなりました
おおきなきがあるの, 大きな木があるの
うれしいことがあったよ, 嬉しいことがあったよ
おにぎりをつくります, お握りを作ります
うわさをきいてしまった, 噂を聞いてしまった
おみせでかいものをした, お店で買い物をした
うちでゆっくりすごす, 家でゆっくり過ごす
おじいさんがとてもやさしい, お爺さんがとても優しい
うえにひこうきがとんでる, 上に飛行機が飛んでる
おんしゃにふねがある, 穏舎に船がある
うちゅうのたんけんをする, 宇宙の探検をする
おてらにいきたいな, お寺に行きたいな
うつくしいばしょでよる, 美しい場所で夜
おかしをたくさんたべた, お菓子をたくさん食べた
うでをふってあいさつした, 腕を振って挨拶した
おきなわがだいすきです, 沖縄が大好きです
うたがうまいひとがいる, 歌が上手い人がいる
おゆをわかしてお茶をいれる, お湯を沸かしてお茶を入れる
うんてんがとてもじょうず, 運転がとても上手
おばあさんといっしょにあそぶ, お婆さんと一緒に遊ぶ
うさぎがいっぱいいたよ, 兎がいっぱいいたよ
おじさんがすむところ, おじさんが住む所
うまをみるのがたのしい, 馬を見るのが楽しい
おそれいりますがよろしいか, 恐れ入りますがよろしいか
うんどうをすることがすき, 運動をすることが好き
おてんきがよくなってきた, お天気が良くなってきた
うたごえがきれいですね, 歌声が綺麗ですね
おすしがうまい店をしってる, お寿司が美味い店を知ってる
うたをきいてねむくなった, 歌を聞いて眠くなった
おまつりがたのしみです, お祭りが楽しみです
うえきばちをかいました, 植木鉢を買いました
おなかがすいてしまったよ, お腹が空いてしまったよ
うちでごはんをつくる, 家でご飯を作る
おともだちとあそぶのがすき, 友達と遊ぶのが好き
うさぎのにわにいくよ, 兎の庭に行くよ
おかしをくれるひとがいる, お菓子をくれる人がいる
うたをうたうのがすき, 歌を歌うのが好き
おおさかへいくつもりです, 大阪へ行くつもりです
うしろにいるひとがこわい, 後ろにいる人が怖い
おきゃくさんがやってきた, お客さんがやってきた
うなぎをたべたことがあります, 鰻を食べたことがあります
おんせんにいくのがたのしい, 温泉に行くのが楽しい
うみでかいものをするつもり, 海で買い物をするつもり
おはなしをききたいな, お話を聞きたいな
うえにものをのせてください, 上に物を載せてください
おはようございます, お早うございます
うつわをひらいてたいせつにする, 器を開いて大切にする
おばあちゃんといっしょにいる, お婆ちゃんと一緒にいる
うめのはながさきました, 梅の花が咲きました
およぐのがとてもすきです, 泳ぐのがとても好きです
うれしいときはうたをうたう, 嬉しい時は歌を歌う
おかねをためてつかう, お金を貯めて使う
うしなってしまったものをかえしたい, 失ってしまったものを返したい
おやつはとてもおいしい, おやつはとても美味しい
うんどうかいはたのしかった, 運動会は楽しかった
おかあさんといっしょにいく, お母さんと一緒に行く
うみでしゃしんをとりました, 海で写真を撮りました
おにぎりをきざんでたべる, お握りを刻んで食べる
うこうせんにのりたくなる, 右後生に乗りたくなる
おとうさまがたのしい, お父様が楽しい
おんがくがすきです, 音楽が好きです
うえにあがるひこうきがみえる, 上に上がる飛行機が見える
おげんきですか, お元気ですか
うみのいえでかんかいする, 海の家で歓会する
おふろはきもちいいですね, お風呂は気持ちいいですね
うたをかけておどる, 歌をかけて踊る
おにぎりをたべるのがすき, お握りを食べるのが好き
うんてんのまえにたつ, 運転の前に立つ
おねがいがあります, お願いがあります
うりきれの商品が多い, 売り切れの商品が多い
おみやげをかうつもり, お土産を買うつもり
うつくしいはらっぱであそぶ, 美しい原っぱで遊ぶ
おうちでまってるよ, お家で待ってるよ
うんどう会が楽しみです, 運動会が楽しみです
おみせであたらしいふくをかった, お店で新しい服を買った
うしろのいすはあいてますか, 後ろの椅子は空いてますか
おもいでをはなすのがたのしい, 思い出を話すのが楽しい
うちのにわにはかぼちゃがある, 家の庭には南瓜がある
おせんべいはたのしいおやつです, お煎餅は楽しいおやつです
うけたまわっております, 承っております
おもちをのこさずたべる, お餅を残さず食べる
うしろにまいこさんがいるぞ, 後ろに舞子さんがいるぞ
おいしいスイーツをたべたい, 美味しいスイーツを食べたい
うつしえをかざっている, 写し絵を飾っている
おうちにかえりたいな, お家に帰りたいな
うえきばちにおはながさいています, 植木鉢にお花が咲いています
おかねがほしい, お金が欲しい
うごかないしごとがある, 動かない仕事がある
おひさまがかがやいている, お日様が輝いている
うさぎのようにとぶのがすき, 兎のように飛ぶのが好き
おちついてかんがえよう, 落ち着いて考えよう
うんどうせんがとてもすき, 運動船がとても好き
おしゃべりがたのしいです, お喋りが楽しいです
うみのさちをたべたい, 海の幸を食べたい
おいしいはしをつかう, 美味しい箸を使う
うなじがすずしくかんじる, うなじが涼しく感じる
おしるこがたべたいな, お汁粉が食べたいな
うえにはながさく, 上には花が咲く
おつきさまがとてもきれい, お月様がとても綺麗
うしがめをきった, 牛が目を切った
おてつだいするからね, お手伝いするからね
うさぎもちいさい, 兎も小さい
おんがくをきくのがすき, 音楽を聞くのが好き
うまのしっぽをゆらす, 馬の尻尾を揺らす
おえかきをするのがたのしい, 絵描きをするのが楽しい
うむことができるしごと, 有る事ができる仕事
おいでよ、みんなであそぼうよ, おいでよ、みんなで遊ぼうよ
うちのねこはかわいい, 家の猫は可愛い
おまつりにいくつもり, お祭りに行くつもり
うけつけでまっている, 受付で待っている
おつりがどのくらいですか, お釣りがどのくらいですか
うりばにいくよ, 売り場に行くよ
おひるごはんをたべます, お昼ご飯を食べます
うりきれていないかな, 売り切れていないかな
おさけをのむよりもおちゃがすき, お酒を飲むよりもお茶が好き
うえきばちにかりんをうえた, 植木鉢に花梨を植えた
おひさまをみているときがたのしい, お日様を見ている時が楽しい
うえであそぶのがいい, 上で遊ぶのが良い
おうちをかざります, お家を飾ります
うつりかわるじかんにいる, 移り変わる時間にいる
おたんじょうびをたのしみにしてる, お誕生日を楽しみにしてる
うみのなかでさがしてみよう, 海の中で探してみよう
おにぎりがあったんだよ, お握りがあったんだよ
うちでのんびりするのがすき, 家でのんびりするのが好き
おこづかいをわすれた, お小遣いを忘れた
うさぎのえがすきです, 兎の絵が好きです
おてがみきょうしつのなかにある, お手紙教室の中にある
うれしいきもちでいっぱいいっぱい, 嬉しい気持ちでいっぱい
おおきなうみがうつくしい, 大きな海が美しい
うわさをきいてしんぱいになった, 噂を聞いて心配になった
おとうさんといっしょにでかける, お父さんと一緒に出かける
うみのさちがとてもおいしい, 海の幸がとても美味しい
おかしをくれる友達, お菓子をくれる友達
うけたまわりました, 承りました
おきなわにはゆうめいなすいかがある, 沖縄には有名なスイカがある
うついのうえにすわります, 磨いの上に座ります
おばあちゃんがまっている, おばあちゃんが待っている
うおのえさをさがしています, 魚の餌を探しています
おはなをかざっている, お花を飾っている
うすいかがりをかけます, 薄い香りをかけます
おむすびをつくるのがたのしい, おむすびを作るのが楽しい
うまいおかしがたくさんある, 美味いお菓子がたくさんある
おもいでをえがく, 思い出を描く
うけるときのきもちがいい, 受ける時の気持ちが良い
おさかながすきなかいきらい, お魚が好きな回気がい
うつのかたちをみる, うつの形を見る
おともだちがまっている, 友達が待っている
うちにいるのがすきです, 家にいるのが好きです
おちゃをのんで、なにをする, お茶を飲んで、何をする
うすいともりをさがそう, 薄いともりを探そう
おかしにめがさく, お菓子に目が覚く
うえをみると雲がぱあっと, 上を見ると雲がぱあっと
おにくをたべるのがたのしい, お肉を食べるのが楽しい
うまのあしをいっぱいいれている, 馬の足をいっぱい入れている
おまじないをとなえて, おまじないを唱えて
ういろうがすきです, 上白糖が好きです
おおきなバスをみかけた, 大きなバスを見かけた
うちのかんばんはみんなのよ, 家の看板はみんなのよ
おにぎりのあさごはんがよい, お握りの朝ごはんが良い
うんどうをすることでつかれはたまって, 運動をすることで疲れは溜まって
おかしのあじがいつもおいしい, お菓子の味がいつも美味しい
うえにすわったねこがかわいい, 上に座った猫が可愛い
おにぎりのなかにたまごがある, お握りの中に卵がある
うさぎのすみかはたのしい, 兎の住処は楽しい
おもしろいはなしをきいた, 面白い話を聞いた
うたがすきでいろんなじかんにうたう, 歌が好きでいろんな時間に歌う
おきなわのうみがあおい, 沖縄の海が青い
うつりゆくきせつがすき, 移りゆく季節が好き
おてらにいってみたい, お寺に行ってみたい
うんてんがきゅうにあたる, 運転が急に当たる
おにぎりをひとつたべました, お握りを一つ食べました
うごくものにはいつも好奇心, 動くものにはいつも好奇心
おおきなすいかがうれしい, 大きなスイカが嬉しい
うえにあるおもちゃをとりたい, 上にあるおもちゃを取りたい
おかあさんといっしょにおかえり, お母さんと一緒にお帰り
うちのいぬはいつもかわいい, 家の犬はいつも可愛い
おかねがたまったらいいな, お金が貯まったらいいな
うさぎといっしょにおさんぽ, 兎と一緒にお散歩
おひるねをしてやすむ, お昼寝をして休む
うまのけつをさわりたい, 馬の尻尾を触りたい
おなかがすいてきたよ, お腹が空いてきたよ
うきわをもってうみへいく, 浮き輪を持って海へ行く
おもいでをかきあつめたい, 思い出を描き集めたい
